#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k141_262	1	267	6	267	100	5.49813	33.7	3.33
k141_271	1	3669	742	3669	100	60.0055	31.1	59.3
k141_60	1	281	1	34	12.0996	0.120996	36.9	60
k141_66	1	8677	772	8677	100	26.6562	31	59.9
k141_67	1	404	1	281	69.5545	0.695545	27.7	24
k141_415	1	6134	397	6134	100	19.4072	31.1	59.7
k141_417	1	357	22	357	100	17.4622	30.6	21.1
k141_408	1	410	30	390	95.122	18.9122	31.6	56.5
k141_411	1	399	75	399	100	53.7268	30.9	47.5
k141_412	1	303	1	301	99.3399	0.993399	27.1	31
k141_433	1	9935	604	9935	100	18.2291	31.1	59.6
k141_434	1	1620	194	1620	100	35.3809	31.1	59.4
k141_30	1	350	10	350	100	8.15429	33.4	48
k141_33	1	350	31	350	100	25.3971	32	29.2
k141_34	1	290	1	270	93.1034	0.931034	28.8	22
k141_325	1	334	1	291	87.1257	0.871257	32.9	25
k141_326	1	226	1	53	23.4513	0.234513	24.5	1
k141_327	1	214	1	211	98.5981	0.985981	31.1	23
k141_328	1	6325	416	6325	100	19.6383	30.9	59.8
k141_35	1	9755	688	9755	100	21.0779	31.3	60
k141_39	1	286	12	286	100	10.5734	28.3	11.5
k141_40	1	570	27	570	100	13.6579	32	57.2
k141_41	1	439	6	439	100	3.50569	30.3	31.7
k141_44	1	322	9	322	100	6.96894	33.8	28.8
k141_47	1	301	1	301	100	1	34.2	32
k141_131	1	358	4	315	87.9888	3.30447	33.7	5.75
k141_133	1	2777	195	2777	100	20.9154	31.3	60
k141_134	1	312	25	312	100	22.7051	30.7	15
k141_48	1	6102	734	6102	100	35.9872	31.1	60
k141_49	1	2393	132	2393	100	16.3042	31.3	59.3
k141_343	1	254	2	249	98.0315	1.90945	32.6	4
k141_101	1	428	1	301	70.3271	0.703271	34.1	13
k141_281	1	327	10	327	100	8.46483	32.1	38.3
k141_282	1	258	2	258	100	1.49225	34.6	0
k141_284	1	307	1	225	73.2899	0.732899	32.5	15
k141_0	1	365	9	335	91.7808	6.97808	30.2	16.7
k141_4	1	274	10	274	100	9.12409	32.7	29.7
k141_5	1	7907	492	7907	100	18.6293	30.8	60
k141_7	1	490	41	490	100	24.5612	31.7	19.3
k141_289	1	281	3	279	99.2883	2.75445	33.5	2.33
k141_361	1	3039	187	3039	100	18.2034	31.3	59.8
k141_362	1	283	2	283	100	2	30.6	8.5
k141_363	1	8500	554	8500	100	19.5015	31.1	59
k141_364	1	931	92	931	100	29.0451	31.1	57
k141_379	1	515	8	389	75.534	4.62136	31.5	29.1
k141_181	1	398	3	312	78.392	2.26633	28.8	38
k141_184	1	231	1	139	60.1732	0.601732	27.1	37
k141_185	1	221	13	221	100	12.7783	33.3	38.5
k141_186	1	283	10	280	98.9399	3.68198	34.2	1.9
k141_187	1	277	12	277	100	3.20217	28.5	0.333
k141_188	1	9227	598	9227	100	19.4132	31.1	59.9
k141_189	1	281	45	281	100	41.3843	32.6	39.4
k141_110	1	1207	104	1207	100	25.4814	30.9	59
k141_112	1	376	22	360	95.7447	15.9362	31.5	35.5
k141_442	1	1050	64	1050	100	17.8676	31.3	55.4
k141_299	1	1584	404	1584	100	75.1995	31.2	58.4
k141_94	1	406	39	406	100	26.9113	32	51.7
k141_141	1	24076	1643	24076	100	20.483	31.2	59.9
k141_142	1	303	1	288	95.0495	0.950495	27.5	32
k141_160	1	429	2	349	81.352	1.37995	33.9	22
k141_162	1	324	2	290	89.5062	1.79012	34.1	4
k141_165	1	323	1	301	93.1889	0.931889	26.8	39
k141_167	1	281	9	281	100	8.12456	31.6	27
k141_168	1	2971	224	2971	100	22.3952	31.5	59.2
k141_169	1	250	5	250	100	4.812	33.2	6.6
k141_80	1	356	17	356	100	12.441	31.2	51.3
k141_81	1	227	13	227	100	11.7885	34.1	39.4
k141_82	1	1308	80	1308	100	17.8081	31.4	59.8
k141_83	1	496	1	301	60.6855	0.606855	27.7	5
k141_84	1	472	25	472	100	15.75	31	42.5
k141_85	1	5147	775	5147	100	45.0363	30.8	59.9
k141_88	1	381	7	371	97.3753	4.08661	30.5	18.3
k141_71	1	282	2	269	95.3901	1.77305	30.7	20
k141_366	1	5499	408	5499	100	22.0591	31	59.7
k141_368	1	1817	111	1817	100	17.9141	31.3	58.5
k141_72	1	4280	298	4280	100	20.7629	30.9	59.5
k141_74	1	433	107	433	100	69.6836	31	51.2
k141_76	1	1248	169	1248	100	39.8534	31.2	54.5
k141_77	1	449	24	449	100	13.0156	32.9	49.2
k141_78	1	372	5	305	81.9892	3.95161	31.8	9.4
k141_150	1	3792	319	3792	100	25.1224	30.8	60
k141_12	1	394	13	394	100	8.75381	29.4	53.2
k141_13	1	352	24	352	100	19.1648	31.6	22.4
k141_14	1	271	1	170	62.7306	0.627306	22.6	2
k141_16	1	281	1	166	59.0747	0.590747	21.8	2
k141_354	1	1331	71	1331	100	15.7784	31.1	57.3
k141_355	1	717	92	717	100	37.3096	31.7	50.2
k141_120	1	1041	178	1041	100	50.5764	31.1	56.7
k141_121	1	294	9	294	100	7.85034	29.5	54.8
k141_135	1	12023	791	12023	100	19.6498	30.8	59.3
k141_137	1	1810	145	1810	100	23.1691	30.5	57.5
k141_122	1	10091	797	10091	100	23.691	31.1	60
k141_235	1	324	13	324	100	10.5062	30.9	49.7
k141_238	1	307	16	307	100	11.1824	30.6	55
k141_239	1	3998	800	3998	100	59.7974	31.2	59.6
k141_241	1	300	1	295	98.3333	0.983333	28.4	22
k141_316	1	328	1	240	73.1707	0.731707	29.8	34
k141_319	1	463	26	456	98.4881	16.8143	30.5	5.54
k141_190	1	1049	381	1049	100	106.723	31	53.2
k141_208	1	344	1	301	87.5	0.875	27.5	2
k141_211	1	24954	1630	24954	100	19.602	31.1	60
k141_192	1	14684	2041	14684	100	25.2947	31.4	34.3
k141_194	1	313	13	313	100	11.8275	31.6	49.3
k141_195	1	447	11	420	93.9597	7.3311	31.1	57.9
k141_196	1	407	26	407	100	18.7617	30	18.1
k141_197	1	410	47	410	100	33.2317	31.4	36.9
k141_198	1	9478	580	9478	100	18.0965	31.3	58.8
k141_213	1	1950	153	1950	100	23.4426	31.1	59.7
k141_214	1	331	1	301	90.9366	0.909366	26.7	31
k141_216	1	430	19	430	100	11.593	30.9	53.5
k141_170	1	31443	2136	31432	99.965	20.389	31	59.7
k141_171	1	283	1	283	100	1	33.1	21
k141_177	1	356	1	301	84.5506	0.845506	26.6	23
k141_178	1	204	36	204	100	26.2745	32	33.9
k141_179	1	308	1	301	97.7273	0.977273	31.8	16
k141_123	1	18420	1192	18420	100	19.4286	31.3	59.9
k141_143	1	2825	308	2825	100	32.4743	30.9	58.2
k141_285	1	33630	2112	33630	100	18.8259	31.3	60
k141_288	1	283	11	283	100	8.56537	32.3	49.2
k141_273	1	22942	1952	22942	100	25.5104	31.1	59.9
k141_274	1	2590	499	2590	100	24.1965	32.1	21
k141_275	1	1900	228	1900	100	35.4668	31.2	59.6
k141_276	1	1035	233	1035	100	66.0338	31.3	37
k141_301	1	30172	2047	30172	100	20.3412	31	59.9
k141_335	1	382	7	382	100	4.88482	32.7	51.4
k141_337	1	463	17	462	99.784	10.7257	31.7	52.2
k141_306	1	335	1	301	89.8507	0.898507	26.3	16
k141_338	1	348	14	348	100	10.842	31.8	48.2
k141_341	1	939	133	939	100	40.9744	31	50.1
k141_245	1	2132	347	2132	100	21.2284	31.3	24.2
k141_246	1	3330	199	3320	99.6997	17.955	31.1	59.8
k141_248	1	412	25	412	100	13.4466	30.5	40.9
k141_24	1	1199	90	1199	100	22.2444	30.2	59.8
k141_25	1	282	1	267	94.6809	0.946809	35.5	0
k141_29	1	360	1	301	83.6111	0.836111	27.2	39
k141_397	1	2409	401	2409	100	23.4965	31.2	24.3
k141_95	1	25901	2458	25901	100	28.3276	31.3	59.5
k141_96	1	355	6	325	91.5493	4.92113	31.1	42.5
k141_99	1	2041	191	2041	100	27.7634	31	53.5
k141_9	1	288	2	288	100	1.97222	33.7	19
k141_398	1	37195	2398	37195	100	19.3522	31.1	60
k141_399	1	320	6	320	100	5.40625	33	24.8
k141_278	1	323	5	323	100	4.56656	33.2	13.6
k141_279	1	4197	273	4197	100	19.3581	31.1	59.2
k141_307	1	19212	1207	19212	100	18.83	31.1	59.7
k141_199	1	398	27	398	100	18.5226	31.4	54
k141_200	1	277	31	277	100	8.77256	32.3	0.71
k141_201	1	283	29	283	100	9.00707	30.2	0
k141_203	1	280	10	280	100	8.88929	32.8	57.2
k141_226	1	282	1	276	97.8723	0.978723	35.1	0
k141_228	1	7294	491	7294	100	20.1163	31.2	60
k141_229	1	251	1	242	96.4143	0.964143	28.8	5
k141_217	1	259	24	259	100	21.3012	32.2	48.8
k141_308	1	18132	1195	18132	100	19.7474	31.1	59.9
k141_311	1	385	36	385	100	27.5143	31.4	25
k141_312	1	351	17	139	39.6011	1.69231	33.5	0.588
k141_313	1	661	23	648	98.0333	10.4372	30.7	51.3
k141_314	1	215	1	215	100	1	28.4	2
k141_315	1	334	17	334	100	14.7934	30.8	3.59
k141_290	1	59116	3909	59116	100	19.8505	31.1	59.9
k141_292	1	939	48	931	99.148	15.295	30	55.1
k141_293	1	395	1	301	76.2025	0.762025	33.9	38
k141_294	1	382	1	301	78.7958	0.787958	27.1	31
k141_295	1	309	1	301	97.411	0.97411	27	39
k141_400	1	13156	875	13156	100	19.9281	31.3	59.9
k141_254	1	45871	3034	45871	100	19.8414	31.1	59.9
k141_358	1	53090	3549	53090	100	20.0687	31.1	60
k141_381	1	58309	3810	58309	100	19.6094	31.1	60
k141_384	1	334	1	292	87.4251	0.874251	26.4	45
k141_385	1	317	45	317	100	38.7161	31.8	13.9
k141_206	1	19488	1255	19488	100	19.3254	31.2	59.9
k141_207	1	2831	361	2831	100	37.9135	30.9	59.8
k141_297	1	1733	115	1733	100	19.3976	30.8	59.7
k141_79	1	43830	3759	43830	100	25.7122	31.2	59.9
k141_426	1	66984	5848	66984	100	25.6274	31.1	58.6
k141_221	1	38663	2565	38663	100	19.9094	31.2	60
k141_388	1	49364	3204	49364	100	19.479	31.1	60
k141_389	1	332	2	308	92.7711	1.34036	27.9	57
k141_331	1	78310	6559	78310	100	25.0825	31.1	59.9
k141_332	1	419	26	419	100	16.1862	31.5	44.2
k141_102	1	83640	5792	83640	100	20.7824	31.1	60
