#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k141_271	1	3669	742	3669	100	60.0055	31.1	59.3
k141_66	1	8677	772	8677	100	26.6562	31	59.9
k141_415	1	6134	397	6134	100	19.4072	31.1	59.7
k141_433	1	9935	604	9935	100	18.2291	31.1	59.6
k141_434	1	1620	194	1620	100	35.3809	31.1	59.4
k141_328	1	6325	416	6325	100	19.6383	30.9	59.8
k141_35	1	9755	688	9755	100	21.0779	31.3	60
k141_40	1	570	27	570	100	13.6579	32	57.2
k141_133	1	2777	195	2777	100	20.9154	31.3	60
k141_48	1	6102	734	6102	100	35.9872	31.1	60
k141_49	1	2393	132	2393	100	16.3042	31.3	59.3
k141_5	1	7907	492	7907	100	18.6293	30.8	60
k141_361	1	3039	187	3039	100	18.2034	31.3	59.8
k141_363	1	8500	554	8500	100	19.5015	31.1	59
k141_364	1	931	92	931	100	29.0451	31.1	57
k141_379	1	515	8	389	75.534	4.62136	31.5	29.1
k141_188	1	9227	598	9227	100	19.4132	31.1	59.9
k141_110	1	1207	104	1207	100	25.4814	30.9	59
k141_442	1	1050	64	1050	100	17.8676	31.3	55.4
k141_299	1	1584	404	1584	100	75.1995	31.2	58.4
k141_141	1	24076	1643	24076	100	20.483	31.2	59.9
k141_168	1	2971	224	2971	100	22.3952	31.5	59.2
k141_82	1	1308	80	1308	100	17.8081	31.4	59.8
k141_85	1	5147	775	5147	100	45.0363	30.8	59.9
k141_366	1	5499	408	5499	100	22.0591	31	59.7
k141_368	1	1817	111	1817	100	17.9141	31.3	58.5
k141_72	1	4280	298	4280	100	20.7629	30.9	59.5
k141_76	1	1248	169	1248	100	39.8534	31.2	54.5
k141_150	1	3792	319	3792	100	25.1224	30.8	60
k141_354	1	1331	71	1331	100	15.7784	31.1	57.3
k141_355	1	717	92	717	100	37.3096	31.7	50.2
k141_120	1	1041	178	1041	100	50.5764	31.1	56.7
k141_135	1	12023	791	12023	100	19.6498	30.8	59.3
k141_137	1	1810	145	1810	100	23.1691	30.5	57.5
k141_122	1	10091	797	10091	100	23.691	31.1	60
k141_239	1	3998	800	3998	100	59.7974	31.2	59.6
k141_190	1	1049	381	1049	100	106.723	31	53.2
k141_211	1	24954	1630	24954	100	19.602	31.1	60
k141_192	1	14684	2041	14684	100	25.2947	31.4	34.3
k141_198	1	9478	580	9478	100	18.0965	31.3	58.8
k141_213	1	1950	153	1950	100	23.4426	31.1	59.7
k141_170	1	31443	2136	31432	99.965	20.389	31	59.7
k141_123	1	18420	1192	18420	100	19.4286	31.3	59.9
k141_143	1	2825	308	2825	100	32.4743	30.9	58.2
